darkV,darkI,darkT,lightV,lightI,lightT,lightM
-4.987196,-0.08556568,25.07561412,-0.104462,-0.1589479,25.02641047,-2.669678
-4.898367,-0.08425508,25.07561412,-0.09403801,-0.1588604,25.02641047,-2.669373
-4.800925,-0.08241715,25.07561412,-0.08438454,-0.158805,25.02596184,-2.669373
-4.698714,-0.08031859,25.07561412,-0.07467155,-0.1587388,25.02540105,-2.669373
-4.601198,-0.07832438,25.07561412,-0.06429215,-0.1586567,25.02525151,-2.669373
-4.498718,-0.07612251,25.07561412,-0.0546051,-0.158586,25.02525151,-2.669067
-4.40134,-0.0740057,25.07561412,-0.04427109,-0.158539,25.02535885,-2.669678
-4.298944,-0.07185431,25.07786833,-0.03450089,-0.1584807,25.02696919,-2.669678
-4.201327,-0.06979486,25.08012254,-0.02420273,-0.1583982,25.02857951,-2.669373
-4.098978,-0.0675611,25.08237674,-0.01444016,-0.1583282,25.02895525,-2.669373
-4.001578,-0.06540099,25.08463095,-0.00411644,-0.1582712,25.02895525,-2.669678
-3.899129,-0.06331054,25.08688516,0.005675554,-0.1581772,25.02895525,-2.668762
-3.801503,-0.06114835,25.08913937,0.0159657,-0.1581188,25.02882902,-2.669373
-3.699018,-0.05902926,25.09139357,0.02582669,-0.1580835,25.02868338,-2.669678
-3.601456,-0.0570037,25.09364778,0.03601789,-0.1580282,25.02864454,-2.669983
-3.498906,-0.05479263,25.09567659,0.04580617,-0.157952,25.02864454,-2.669678
-3.401434,-0.05299404,25.09567659,0.0561595,-0.1578715,25.02864454,-2.669067
-3.299178,-0.05080065,25.09567659,0.0658536,-0.1577861,25.02849754,-2.669067
-3.201495,-0.04891178,25.09567659,0.07614851,-0.1577232,25.02829709,-2.669373
-3.099132,-0.04674876,25.09567659,0.08588076,-0.1576655,25.02823027,-2.669373
-3.001703,-0.04492369,25.09567659,0.09621382,-0.1576073,25.02823027,-2.669678
-2.904144,-0.04302381,25.09567659,0.1059866,-0.1575302,25.02837046,-2.669373
-2.801747,-0.04106402,25.09567659,0.1162946,-0.1574813,25.03047344,-2.669678
-2.704134,-0.03914104,25.09567659,0.1260579,-0.1574124,25.03257642,-2.669678
-2.60182,-0.03703016,25.09567659,0.1364589,-0.1573274,25.03292693,-2.669067
-2.504265,-0.03526291,25.09567659,0.1461506,-0.1572526,25.03292693,-2.669067
-2.401711,-0.03350746,25.09674486,0.1564431,-0.1571926,25.03292693,-2.669373
-2.304105,-0.03167237,25.09781314,0.1661789,-0.1571247,25.03121892,-2.669678
-2.20182,-0.02988514,25.09888142,0.1760352,-0.1570531,25.02916933,-2.669373
