Vdark,Jdark,Vlight,Jlight
4.2,869.80969,3.8,100
4.19,869.72314,3.795,100
4.18,869.72314,3.79,97.898399
4.17,869.72314,3.785,94.79084
4.16,869.72314,3.78,92.211159
4.15,869.80969,3.775,89.661354
4.14,869.72314,3.77,86.697205
4.13,851.55707,3.765,84.248009
4.12,822.92383,3.76,81.822708
4.11,791.6955,3.755,78.988045
4.1,760.6488,3.75,76.640434
4.09,731.16785,3.745,74.341629
4.08,701.41864,3.74,72.105576
4.07,674.35986,3.735,69.441231
4.06,645.09515,3.73,67.263947
4.05,616.47919,3.725,65.142426
4.04,590.88232,3.72,62.63546
4.03,563.44287,3.715,60.582668
4.02,536.76471,3.71,58.590641
4.01,513.00171,3.705,56.235062
4,487.60379,3.7,54.303787
3.99,465.21625,3.695,52.438248
3.98,441.46194,3.69,50.237053
3.97,418.24396,3.685,48.439243
3.96,397.77682,3.68,46.700203
3.95,376.22839,3.675,44.633469
3.94,355.27682,3.67,42.958168
3.93,336.94635,3.665,41.333664
3.92,317.70761,3.66,39.426292
3.91,299.0744,3.655,37.871513
3.9,282.8114,3.65,36.370518
3.89,265.81314,3.645,34.595615
3.88,249.43771,3.64,33.157372
3.87,235.28546,3.635,31.776894
3.86,220.49309,3.63,30.142431
3.85,207.53461,3.625,28.818724
3.84,194.09171,3.62,27.541834
3.83,181.36679,3.615,26.277887
3.82,170.27681,3.61,24.816734
3.81,158.87543,3.605,23.640438
3.8,148.1142,3.6,22.48506
3.79,138.78893,3.595,21.144423
3.78,129.16956,3.59,20.068726
3.77,120.16436,3.585,19.015936
3.76,112.38754,3.58,17.784861
3.75,104.43771,3.575,16.800797
3.74,97.621101,3.57,15.840637
3.73,90.562279,3.565,14.728087
3.72,83.987885,3.56,13.833665
3.71,78.408302,3.555,12.957171
3.7,72.485298,3.55,11.943228
3.69,67.207611,3.545,11.130478
3.68,62.708477,3.54,10.335657
3.67,58.050175,3.535,9.4163342
3.66,53.730103,3.53,8.6616535
3.65,50.07526,3.525,7.9469123
3.64,46.308823,3.52,7.1096611
3.63,42.844292,3.515,6.4501991
3.62,39.908306,3.51,5.8015933
3.61,36.887543,3.505,5.0527892
3.6,34.34602,3.5,4.4518924
3.59,31.752596,3.495,3.8670318
3.58,29.33737,3.49,3.3007967
3.57,27.307959,3.485,2.6439245
3.56,25.24308,3.48,2.1160359
3.55,23.320934,3.475,1.6060758
3.54,21.707613,3.47,1.0188247
3.53,20.06315,3.465,0.50555778
3.52,18.533735,3.46,0.11602589
3.51,17.256056,3.455,-0.40746015
3.5,15.949826,3.45,-0.83996016
3.49,14.840831,3.445,-1.2857569
3.48,13.716263,3.44,-1.7567729
3.47,12.678201,3.435,-2.1388445
3.46,11.796713,3.43,-2.5113544
3.45,10.906575,3.425,-2.9310758
3.44,10.084775,3.42,-3.2709162
3.43,9.3858128,3.415,-3.6026893
3.42,8.6773348,3.41,-3.982769
