QI0926P_D_forD_V,QI0926P_D_forD,QI0926P_D_forL_V,QI0926P_D_forL,QI0926P_D_revD_V,QI0926P_D_revD,QI0926P_D_revL_V,QI0926P_D_revL
0.36,0.000340098,0.36,-23.286606,0.74,0.004424464,0.74,-22.134821
0.35,0.000324464,0.35,-23.293749,0.75,0.005025357,0.75,-22.070536
0.34,0.000309134,0.34,-23.283035,0.76,0.005730179,0.76,-22.003571
0.33,0.000294393,0.33,-23.266964,0.77,0.006573929,0.77,-21.939287
0.32,0.000279911,0.32,-23.260715,0.78,0.007568392,0.78,-21.877678
0.31,0.000266214,0.31,-23.253572,0.79,0.008747678,0.79,-21.813395
0.3,0.00025283,0.3,-23.276787,0.8,0.010175893,0.8,-21.74375
0.29,0.000239634,0.29,-23.286606,0.81,0.01185625,0.81,-21.651787
0.28,0.000227036,0.28,-23.291073,0.82,0.013873214,0.82,-21.544643
0.27,0.000214634,0.27,-23.284821,0.83,0.016281251,0.83,-21.428572
0.26,0.000202732,0.26,-23.267859,0.84,0.019177679,0.84,-21.313393
0.25,0.000190982,0.25,-23.358927,0.85,0.022703571,0.85,-21.200893
0.24,0.000179688,0.24,-23.327679,0.86,0.026925894,0.86,-21.075001
0.23,0.00016883,0.23,-23.325001,0.87,0.032082144,0.87,-20.922321
0.22,0.000157795,0.22,-23.389284,0.88,0.038266964,0.88,-20.752678
0.21,0.000147598,0.21,-23.335714,0.89,0.045849107,0.89,-20.55982
0.2,0.000137223,0.2,-23.341965,0.9,0.054980356,0.9,-20.351786
0.19,0.000127473,0.19,-23.375893,0.91,0.066085719,0.91,-20.12768
0.18,0.00011783,0.18,-23.372322,0.92,0.079799108,0.92,-19.87768
0.17,0.000108339,0.17,-23.385714,0.93,0.095258929,0.93,-19.598213
0.16,9.92E-05,0.16,-23.408035,0.94,0.11591072,0.94,-19.280355
0.15,9.01E-05,0.15,-23.4,0.95,0.14090177,0.95,-18.922321
0.14,8.13E-05,0.14,-23.404465,0.96,0.17196429,0.96,-18.533037
0.13,8.46E-05,0.13,-23.40625,0.97,0.20998214,0.97,-18.104464
0.12,7.64E-05,0.12,-23.421429,0.98,0.25710714,0.98,-17.624107
0.11,6.85E-05,0.11,-23.427679,0.99,0.31611606,0.99,-17.079464
0.1,6.06E-05,0.1,-23.422321,1,0.38874999,1,-16.485714
0.09,5.29E-05,0.09,-23.4375,1.01,0.47975001,1.01,-15.826786
0.08,4.52E-05,0.08,-23.396427,1.02,0.59149998,1.02,-15.109821
0.07,3.78E-05,0.07,-23.467857,1.03,0.73121434,1.03,-14.3125
0.06,3.03E-05,0.06,-23.538393,1.04,0.88607144,1.04,-13.456249
0.05,2.31E-05,0.05,-23.401785,1.05,1.0969642,1.05,-12.524107
0.04,1.59E-05,0.04,-23.566072,1.06,1.3548213,1.06,-11.514286
0.03,8.81E-06,0.03,-23.5375,1.07,1.6637499,1.07,-10.447321
0.02,6.77E-06,0.02,-23.448214,1.08,2.0380356,1.08,-9.2991076
0.01,7.03E-07,0.01,-23.563393,1.09,2.4787502,1.09,-8.0910711
0,-6.91E-06,0,-23.573215,1.1,2.995893,1.1,-6.94625
-0.01,-1.02E-05,-0.01,-23.538393,1.11,3.6017857,1.11,-5.5546427
-0.02,-1.87E-05,-0.02,-23.570536,1.12,4.2895536,1.12,-4.1341963
-0.03,-2.59E-05,-0.03,-23.566072,1.13,5.0747318,1.13,-2.6499107
-0.04,-3.28E-05,-0.04,-23.557144,1.14,5.9422321,1.14,-1.1267858
-0.05,-3.93E-05,-0.05,-23.569643,1.15,6.9084821,1.15,0.30392858
-0.06,-4.55E-05,-0.06,-23.569643,1.16,7.9516964,1.16,1.9158928
-0.07,-5.16E-05,-0.07,-23.574106,1.17,9.0330362,1.17,3.6424999
-0.08,-5.82E-05,-0.08,-23.576786,1.18,10.257143,1.18,5.3526788
-0.09,-6.73E-05,-0.09,-23.582144,1.19,11.539286,1.19,7.1366963
-0.1,-6.69E-05,-0.1,-23.598215,1.2,12.901785,1.2,8.8901787
-0.11,-7.16E-05,-0.11,-23.605358,1.21,14.315179,1.21,10.707144
-0.12,-7.68E-05,-0.12,-23.609821,1.22,15.799107,1.22,12.608036
-0.13,-8.22E-05,-0.13,-23.609821,1.23,17.322321,1.23,14.533929
-0.14,-9.34E-05,-0.14,-23.608929,1.24,18.893749,1.24,16.446428
-0.15,-0.000100339,-0.15,-23.59643,1.25,20.525892,1.25,18.438393
-0.16,-0.000106607,-0.16,-23.591072,1.26,22.185715,1.26,20.426785
-0.17,-0.000112375,-0.17,-23.588392,1.27,23.897322,1.27,22.448215
-0.18,-0.000118125,-0.18,-23.577679,1.28,25.62768,1.28,24.486607
-0.19,-0.000123473,-0.19,-23.5625,1.29,27.40893,1.29,26.565178
-0.2,-0.000128875,-0.2,-23.5625,1.3,29.200893,1.3,28.640179
