Vdark,Jdark,Vlight,Jlight
4.2,870.1557,3.85,100
4.19,870.1557,3.845,100.00996
4.18,870.1557,3.84,100
4.17,870.1557,3.835,100
4.16,870.1557,3.83,100
4.15,870.1557,3.825,100
4.14,870.1557,3.82,100
4.13,870.1557,3.815,100
4.12,870.1557,3.81,100
4.11,870.06921,3.805,100
4.1,870.06921,3.8,100.00996
4.09,870.06921,3.795,100.00996
4.08,870.06921,3.79,100.00996
4.07,870.06921,3.785,100.00996
4.06,870.06921,3.78,100.00996
4.05,870.06921,3.775,100
4.04,870.06921,3.77,100
4.03,828.97925,3.765,100
4.02,786.24567,3.76,100
4.01,739.46368,3.755,100
4,699.99133,3.75,100
3.99,663.80627,3.745,100
3.98,624.93079,3.74,100
3.97,586.7301,3.735,100
3.96,552.82867,3.73,97.001999
3.95,517.60382,3.725,93.326691
3.94,483.63321,3.72,88.952187
3.93,454.00519,3.715,85.511955
3.92,423.49481,3.71,82.176292
3.91,394.37714,3.705,78.257973
3.9,369.11765,3.7,75.087654
3.89,343.27853,3.695,72.051796
3.88,318.77164,3.69,68.512947
3.87,297.78546,3.685,65.661354
3.86,276.2803,3.68,62.936256
3.85,257.6384,3.675,59.74004
3.84,238.69377,3.67,57.173309
3.83,221.01212,3.665,54.712151
3.82,205.7699,3.66,51.855576
3.81,190.37196,3.655,49.555775
3.8,176.04671,3.65,47.365536
3.79,163.74567,3.645,44.80777
3.78,151.28893,3.64,42.747009
3.77,139.75778,3.635,40.79084
3.76,129.88754,3.63,38.510956
3.75,119.95675,3.625,36.675301
3.74,111.51384,3.62,34.923306
3.73,102.88063,3.615,33.210159
3.72,94.930801,3.61,31.244024
3.71,88.209343,3.605,29.671316
3.7,81.34948,3.6,28.144423
3.69,74.781143,3.595,26.389442
3.68,69.579582,3.59,25
3.67,64.206749,3.585,23.635458
3.66,59.248268,3.58,22.065739
3.65,55.067471,3.575,20.821712
3.64,50.786335,3.57,19.61554
3.63,46.869377,3.565,18.227091
3.62,43.562283,3.56,17.120518
3.61,40.176472,3.555,16.049801
3.6,37.336506,3.55,14.809761
3.59,34.455017,3.545,13.820717
3.58,31.780277,3.54,12.865539
3.57,29.537197,3.535,11.775897
3.56,27.266436,3.53,10.905378
3.55,25.15744,3.525,10.050797
3.54,23.390139,3.52,9.0756969
3.53,21.594292,3.515,8.2851601
3.52,19.9282,3.51,7.5389442
3.51,18.538927,3.505,6.6802788
3.5,17.121107,3.5,5.9954181
3.49,15.918686,3.495,5.3209167
3.48,14.702422,3.49,4.6787848
3.47,13.581315,3.485,3.9498007
3.46,12.630622,3.48,3.3585658
3.45,11.66955,3.475,2.78496
3.44,10.784601,3.47,2.1385458
3.43,10.032872,3.465,1.6146414
3.42,9.2724915,3.46,1.1023904
3.41,8.5709343,3.455,0.49055779
3.4,7.9757786,3.45,0.093217127
3.39,7.372232,3.445,-0.35747012
3.38,6.8179069,3.44,-0.86181277
3.37,6.3478374,3.435,-1.3158367
3.36,5.8705878,3.43,-1.7087649
3.35,5.4688578,3.425,-2.1652391
3.34,5.0562286,3.42,-2.5298805
3.33,4.6773357,3.415,-2.8748007
3.32,4.3594289,3.41,-3.2775896
3.31,4.0328722,3.405,-3.6031873
3.3,3.7322664,3.4,-3.9111555
3.29,3.4793251,3.395,-4.260757
3.28,3.2197232,3.39,-4.5524902
3.27,2.9818339,3.385,-4.8288841
3.26,2.7807093,3.38,-5.1402392
3.25,2.5741348,3.375,-5.3895416
3.24,2.4007785,3.37,-5.6400399
3.23,2.2239618,3.365,-5.8746018
3.22,2.0592561,3.36,-6.1392431
3.21,1.9214532,3.355,-6.3619523
3.2,1.7807093,3.35,-6.5742035
3.19,1.6496539,3.345,-6.8078685
3.18,1.5397059,3.34,-7.0037847
3.17,1.4273357,3.335,-7.18994
3.16,1.3226644,3.33,-7.4015932
3.15,1.2352076,3.325,-7.570518
3.14,1.1455882,3.32,-7.7326694
3.13,1.0693772,3.315,-7.9269919
3.12,0.99178201,3.31,-8.0808764
3.11,0.91998273,3.305,-8.2241039
3.1,0.85899651,3.3,-8.3918324
3.09,0.79697233,3.295,-8.5288849
3.08,0.73963666,3.29,-8.6579685
3.07,0.69094294,3.285,-8.8051796
3.06,0.64132357,3.28,-8.9250994
3.05,0.59541523,3.275,-9.0426292
3.04,0.55637544,3.27,-9.1747017
3.03,0.5167647,3.265,-9.2781878
3.02,0.47995675,3.26,-9.3772907
3.01,0.44864187,3.255,-9.4801788
3,0.41670418,3.25,-9.5881472
2.99,0.38955018,3.245,-9.6771908
2.98,0.36196366,3.24,-9.7715139
2.97,0.33634949,3.235,-9.8756971
2.96,0.31457612,3.23,-9.9511957
2.95,0.29243082,3.225,-10.031873
2.94,0.27180797,3.22,-10.122511
2.93,0.25426471,3.215,-10.195219
2.92,0.23643599,3.21,-10.265937
2.91,0.21991348,3.205,-10.340637
2.9,0.2057872,3.2,-10.405379
2.89,0.19141869,3.195,-10.469123
2.88,0.17922145,3.19,-10.536853
2.87,0.16665225,3.185,-10.594621
2.86,0.1550865,3.18,-10.650398
2.85,0.14532873,3.175,-10.713148
2.84,0.13520761,3.17,-10.760956
2.83,0.12586506,3.165,-10.809761
2.82,0.11794983,3.16,-10.865539
2.81,0.10974914,3.155,-10.913346
2.8,0.10221453,3.15,-10.953187
2.79,0.095839098,3.145,-11.002989
2.78,0.089221455,3.14,-11.048804
2.77,0.083148792,3.135,-11.084661
2.76,0.07795848,3.13,-11.121514
2.75,0.07272578,3.125,-11.162351
2.74,0.068142734,3.12,-11.19721
2.73,0.063436851,3.115,-11.228087
2.72,0.05911332,3.11,-11.263945
2.71,0.055520762,3.105,-11.297809
2.7,0.051802769,3.1,-11.32769
2.69,0.048398789,3.095,-11.359561
2.68,0.045482699,3.09,-11.386454
2.67,0.042407442,3.085,-11.413346
2.66,0.039500002,3.08,-11.446216
2.65,0.037012976,3.075,-11.468128
2.64,0.034450691,3.07,-11.491036
2.63,0.032361593,3.065,-11.521912
2.62,0.030247403,3.06,-11.543824
2.61,0.028279413,3.055,-11.561753
2.6,0.026678199,3.05,-11.584661
2.59,0.024955017,3.045,-11.604582
2.58,0.023282873,3.04,-11.620519
2.57,0.021821799,3.035,-11.643427
2.56,0.020313149,3.03,-11.66235
2.55,0.018889273,3.025,-11.678287
2.54,0.017752595,3.02,-11.693227
2.53,0.016641868,3.015,-11.707171
2.52,0.015690312,3.01,-11.721115
2.51,0.01476384,3.005,-11.736056
2.5,0.013862457,3,-11.747012
2.49,0.013026816,2.995,-11.758965
2.48,0.012122838,2.99,-11.773905
2.47,0.011259516,2.985,-11.787849
2.46,0.010495675,2.98,-11.795817
2.45,0.009808824,2.975,-11.805777
2.44,0.009219723,2.97,-11.818725
2.43,0.008726644,2.965,-11.827689
2.42,0.008263841,2.96,-11.837649
2.41,0.007791522,2.955,-11.849602
2.4,0.007236418,2.95,-11.859562
2.39,0.006844118,2.945,-11.865538
2.38,0.006265398,2.94,-11.873506
2.37,0.005883824,2.935,-11.881474
2.36,0.005686591,2.93,-11.889442
2.35,0.005250173,2.925,-11.89243
2.34,0.004782266,2.92,-11.899403
2.33,0.00463564,2.915,-11.909363
2.32,0.004393253,2.91,-11.916335
2.31,0.003927855,2.905,-11.918327
2.3,0.003736938,2.9,-11.926295
2.29,0.003684256,2.895,-11.932271
2.28,0.003313408,2.89,-11.937251
2.27,0.003030796,2.885,-11.941236
2.26,0.003018512,2.88,-11.944223
2.25,0.002807439,2.875,-11.951196
2.24,0.002461938,2.87,-11.954183
2.23,0.002392561,2.865,-11.961155
2.22,0.002377422,2.86,-11.970119
2.21,0.002079671,2.855,-11.9751
2.2,0.001899741,2.85,-11.977091
2.19,0.001965398,2.845,-11.981075
2.18,0.001790917,2.84,-11.98506
2.17,0.001503547,2.835,-11.991035
2.16,0.00152526,2.83,-11.992032
2.15,0.001539533,2.825,-11.994023
2.14,0.001255969,2.82,-11.997012
2.13,0.001182785,2.815,-11.996016
2.12,0.001290571,2.81,-11.997012
2.11,0.001120848,2.805,-12.001992
2.1,0.000900865,2.8,-12.006972
2.09,0.000986505,2.795,-12.00498
2.08,0.00097846,2.79,-12.008964
2.07,0.000772941,2.785,-12.012948
2.06,0.00077699,2.78,-12.013944
2.05,0.000789299,2.775,-12.008964
2.04,0.000727457,2.77,-12.007968
2.03,0.000597016,2.765,-12.015936
2.02,0.000523287,2.76,-12.015936
2.01,0.00052455,2.755,-12.012948
2,0.000567042,2.75,-12.017928
1.99,0.000536003,2.745,-12.020916
1.98,0.000428997,2.74,-12.017928
1.97,0.00034141,2.735,-12.01992
1.96,0.000339948,2.73,-12.022908
1.95,0.0004,2.725,-12.025896
1.94,0.000395735,2.72,-12.025896
1.93,0.00031724,2.715,-12.029881
1.92,0.000219299,2.71,-12.036853
1.91,0.000208149,2.705,-12.035856
1.9,0.000270891,2.7,-12.032868
1.89,0.000296583,2.695,-12.035856
1.88,0.000243149,2.69,-12.037848
1.87,0.000140424,2.685,-12.038845
1.86,0.000115251,2.68,-12.038845
1.85,0.000169983,2.675,-12.040836
1.84,0.000224498,2.67,-12.040836
1.83,0.000192517,2.665,-12.039841
1.82,9.54E-05,2.66,-12.040836
1.81,0.000187785,2.655,-12.040836
1.8,0.000176471,2.65,-12.041833
1.79,9.22E-05,2.645,-12.039841
1.78,0.000144602,2.64,-12.041833
1.77,0.000160502,2.635,-12.046813
1.76,9.76E-05,2.63,-12.044821
1.75,0.00012724,2.625,-12.042829
1.74,0.000140813,2.62,-12.046813
1.73,6.46E-05,2.615,-12.050797
1.72,4.35E-05,2.61,-12.049801
1.71,7.19E-05,2.605,-12.048805
1.7,3.37E-05,2.6,-12.051793
1.69,6.57E-05,2.595,-12.050797
1.68,2.46E-05,2.59,-12.050797
1.67,6.06E-05,2.585,-12.053785
1.66,1.66E-05,2.58,-12.054781
1.65,5.61E-05,2.575,-12.055778
1.64,9.63E-06,2.57,-12.053785
1.63,5.21E-05,2.565,-12.060758
1.62,3.51E-05,2.56,-12.066733
1.61,1.54E-05,2.555,-12.063745
1.6,3.35E-05,2.55,-12.062749
1.59,8.99E-06,2.545,-12.063745
1.58,3.24E-05,2.54,-12.066733
1.57,7.88E-05,2.535,-12.064741
1.56,3.42E-05,2.53,-12.064741
1.55,8.25E-05,2.525,-12.068726
1.54,9.90E-06,2.52,-12.066733
1.53,1.69E-05,2.515,-12.067729
1.52,-1.29E-05,2.51,-12.066733
1.51,3.29E-05,2.505,-12.067729
1.5,-1.43E-05,2.5,-12.064741
1.49,3.08E-05,2.495,-12.064741
1.48,-1.48E-05,2.49,-12.065738
1.47,2.88E-05,2.485,-12.067729
