QI0926J_C_forD_V,QI0926J_C_forD,QI0926J_C_forL_V,QI0926J_C_forL,QI0926J_C_revD_V,QI0926J_C_revD,QI0926J_C_revL_V,QI0926J_C_revL
1.5,46.211605,1.5,47.95982,-0.2,-0.000102554,-0.2,-16.61875
1.49,46.273216,1.49,47.572323,-0.19,-8.83E-05,-0.19,-16.561607
1.48,45.203571,1.48,46.519642,-0.18,-7.84E-05,-0.18,-16.570536
1.47,43.652676,1.47,45.071426,-0.17,-6.90E-05,-0.17,-16.547321
1.46,41.908035,1.46,43.410713,-0.16,-6.15E-05,-0.16,-16.50625
1.45,40.041965,1.45,41.582142,-0.15,-5.48E-05,-0.15,-16.489286
1.44,38.148216,1.44,39.671429,-0.14,-4.87E-05,-0.14,-16.446428
1.43,36.221432,1.43,37.679466,-0.13,-4.29E-05,-0.13,-16.429464
1.42,34.3125,1.42,35.664288,-0.12,-3.75E-05,-0.12,-16.471428
1.41,32.418751,1.41,33.626785,-0.11,-3.23E-05,-0.11,-16.522322
1.4,30.525,1.4,31.558037,-0.1,-2.75E-05,-0.1,-16.345535
1.39,28.675892,1.39,29.506248,-0.09,-2.26E-05,-0.09,-16.457142
1.38,26.838392,1.38,27.442856,-0.08,-1.81E-05,-0.08,-16.489286
1.37,25.051785,1.37,25.407143,-0.07,-1.36E-05,-0.07,-16.386608
1.36,23.301786,1.36,23.385714,-0.06,-9.21E-06,-0.06,-16.408928
1.35,21.576786,1.35,21.389286,-0.05,-1.39E-05,-0.05,-16.450891
1.34,19.910713,1.34,19.390177,-0.04,-1.18E-05,-0.04,-16.408035
1.33,18.277679,1.33,17.427679,-0.03,-7.94E-06,-0.03,-16.408035
1.32,16.711607,1.32,15.518749,-0.02,-3.55E-06,-0.02,-16.441965
1.31,15.184822,1.31,13.600892,-0.01,4.55E-07,-0.01,-16.410715
1.3,13.733035,1.3,11.776786,0,5.25E-06,0,-16.392857
1.29,12.344644,1.29,9.9508924,0.01,4.82E-06,0.01,-16.389286
1.28,11.009821,1.28,8.163393,0.02,7.19E-06,0.02,-16.366964
1.27,9.7616062,1.27,6.4366074,0.03,1.11E-05,0.03,-16.369642
1.26,8.5785713,1.26,4.7410717,0.04,1.86E-05,0.04,-16.36875
1.25,7.5642858,1.25,3.1050892,0.05,2.45E-05,0.05,-16.341965
1.24,6.5175891,1.24,1.5164286,0.06,2.99E-05,0.06,-16.313393
1.23,5.585536,1.23,0.001202589,0.07,3.51E-05,0.07,-16.303572
1.22,4.7468748,1.22,-1.43375,0.08,4.02E-05,0.08,-16.267857
1.21,3.9929466,1.21,-2.7898214,0.09,4.51E-05,0.09,-16.34375
1.2,3.3350892,1.2,-4.1151786,0.1,4.99E-05,0.1,-16.366964
1.19,2.7577677,1.19,-5.406518,0.11,5.49E-05,0.11,-16.208929
1.18,2.2670536,1.18,-6.5139284,0.12,6.02E-05,0.12,-16.338392
1.17,1.8462499,1.17,-7.5973215,0.13,6.73E-05,0.13,-16.295536
1.16,1.4972321,1.16,-8.6062498,0.14,8.13E-05,0.14,-16.199999
1.15,1.2075893,1.15,-9.3660707,0.15,6.54E-05,0.15,-16.291071
1.14,0.96705359,1.14,-10.233929,0.16,6.66E-05,0.16,-16.298214
1.13,0.7965982,1.13,-10.997321,0.17,6.92E-05,0.17,-16.235714
1.12,0.62649107,1.12,-11.667857,0.18,7.28E-05,0.18,-16.263393
1.11,0.49591964,1.11,-12.249106,0.19,7.66E-05,0.19,-16.258928
1.1,0.39167857,1.1,-12.766964,0.2,8.18E-05,0.2,-16.225
1.09,0.30994645,1.09,-13.2125,0.21,9.54E-05,0.21,-16.250893
1.08,0.24519643,1.08,-13.60625,0.22,0.000104875,0.22,-16.240179
1.07,0.19346428,1.07,-13.950893,0.23,0.000113688,0.23,-16.225
1.06,0.15300001,1.06,-14.2375,0.24,0.000121723,0.24,-16.215178
1.05,0.12073214,1.05,-14.476786,0.25,0.000130071,0.25,-16.191071
1.04,0.095553569,1.04,-14.672322,0.26,0.000138232,0.26,-16.176785
1.03,0.077407144,1.03,-14.870536,0.27,0.000146321,0.27,-16.183035
1.02,0.060634822,1.02,-15.064286,0.28,0.000154518,0.28,-16.178572
1.01,0.047932141,1.01,-15.11875,0.29,0.000162741,0.29,-16.170536
1,0.03790893,1,-15.228571,0.3,0.000170991,0.3,-16.154465
0.99,0.030120537,0.99,-15.480357,0.31,0.000179045,0.31,-16.146429
0.98,0.023938393,0.98,-15.427679,0.32,0.00018725,0.32,-16.130358
0.97,0.019110715,0.97,-15.461607,0.33,0.000195598,0.33,-16.11875
0.96,0.01530625,0.96,-15.658035,0.34,0.000203491,0.34,-16.110714
0.95,0.01227768,0.95,-15.65625,0.35,0.000211804,0.35,-16.097321
0.94,0.009909822,0.94,-15.676785,0.36,0.000219714,0.36,-16.086607
0.93,0.008123572,0.93,-15.80625,0.37,0.000227991,0.37,-16.073214
0.92,0.006584375,0.92,-15.791071,0.38,0.000235955,0.38,-16.055357
0.91,0.005389732,0.91,-15.817857,0.39,0.000244098,0.39,-16.050892
0.9,0.004457589,0.9,-15.882143,0.4,0.000252696,0.4,-16.043749
0.89,0.003717589,0.89,-15.892858,0.41,0.000260991,0.41,-16.029465
0.88,0.003124554,0.88,-15.932142,0.42,0.000269741,0.42,-16.017857
0.87,0.002656161,0.87,-15.957143,0.43,0.000278384,0.43,-16.00625
0.86,0.002277589,0.86,-15.955357,0.44,0.000287589,0.44,-15.991964
0.85,0.001978482,0.85,-15.941964,0.45,0.000296732,0.45,-15.980357
0.84,0.001732322,0.84,-15.955357,0.46,0.00030608,0.46,-15.972322
0.83,0.001536518,0.83,-15.821428,0.47,0.000316187,0.47,-15.966071
0.82,0.001375804,0.82,-16.104464,0.48,0.000326482,0.48,-15.958928
0.81,0.001243572,0.81,-15.9875,0.49,0.000337634,0.49,-15.966071
0.8,0.001134286,0.8,-16.183928,0.5,0.000348812,0.5,-15.955357
0.79,0.0010425,0.79,-15.923214,0.51,0.000360589,0.51,-15.935714
0.78,0.000964375,0.78,-16.058928,0.52,0.00037292,0.52,-15.933036
0.77,0.0009,0.77,-16.155357,0.53,0.000385946,0.53,-15.916964
0.76,0.000841339,0.76,-16.025894,0.54,0.00040025,0.54,-15.896429
0.75,0.000827304,0.75,-16.107143,0.55,0.00041467,0.55,-15.878572
0.74,0.000774402,0.74,-16.176785,0.56,0.000430188,0.56,-15.875
0.73,0.000731955,0.73,-16.089285,0.57,0.00044658,0.57,-15.860715
0.72,0.000692634,0.72,-16.128572,0.58,0.000463821,0.58,-15.848214
0.71,0.000657473,0.71,-16.169643,0.59,0.000482518,0.59,-15.842857
0.7,0.00062558,0.7,-16.135714,0.6,0.000502313,0.6,-15.825892
0.69,0.000596518,0.69,-16.169643,0.61,0.000523,0.61,-15.815179
0.68,0.000569571,0.68,-16.180357,0.62,0.000545134,0.62,-15.807142
0.67,0.000542446,0.67,-16.173214,0.63,0.000568902,0.63,-15.786607
0.66,0.000518438,0.66,-16.1875,0.64,0.000594,0.64,-15.767857
0.65,0.000495732,0.65,-16.182142,0.65,0.000620893,0.65,-15.7375
0.64,0.000473393,0.64,-16.167858,0.66,0.000649991,0.66,-15.689285
0.63,0.000452295,0.63,-16.127678,0.67,0.000680652,0.67,-15.699107
0.62,0.000432071,0.62,-16.210714,0.68,0.000714866,0.68,-15.590178
