v,i,raw
0.8,nan,99.999
0.79,nan,99.999
0.78,nan,99.999
0.77,-99.999,99.999
0.76,-92.657,92.657
0.75,-83.887,83.887
0.74,-75.189,75.189
0.73,-66.754,66.754
0.72,-58.419,58.419
0.71,-50.387,50.387
0.7,-42.498,42.498
0.69,-34.948,34.948
0.68,-27.617,27.617
0.67,-20.655,20.655
0.66,-13.976,13.976
0.65,-7.6624,7.6624
0.64,-1.9615,1.9615
0.63,3.522,-3.522
0.62,8.4896,-8.4896
0.61,13.031,-13.031
0.6,16.998,-16.998
0.59,20.496,-20.496
0.58,23.474,-23.474
0.57,26.007,-26.007
0.56,28.089,-28.089
0.55,29.816,-29.816
0.54,31.19,-31.19
0.53,32.292,-32.292
0.52,33.162,-33.162
0.51,33.865,-33.865
0.5,34.41,-34.41
0.49,34.837,-34.837
0.48,35.187,-35.187
0.47,35.462,-35.462
0.46,35.685,-35.685
0.45,35.861,-35.861
0.44,36.017,-36.017
0.43,36.144,-36.144
0.42,36.251,-36.251
0.41,36.331,-36.331
0.4,36.394,-36.394
0.39,36.448,-36.448
0.38,36.497,-36.497
0.37,36.537,-36.537
0.36,36.567,-36.567
0.35,36.6,-36.6
0.34,36.617,-36.617
0.33,36.637,-36.637
0.32,36.661,-36.661
0.31,36.673,-36.673
0.3,36.68,-36.68
0.29,36.694,-36.694
0.28,36.704,-36.704
0.27,36.716,-36.716
0.26,36.72,-36.72
0.25,36.737,-36.737
0.24,36.722,-36.722
0.23,36.733,-36.733
0.22,36.74,-36.74
0.21,36.748,-36.748
0.2,36.756,-36.756
0.19,36.764,-36.764
0.18,36.754,-36.754
0.17,36.756,-36.756
0.16,36.773,-36.773
0.15,36.791,-36.791
0.14,36.778,-36.778
0.13,36.785,-36.785
0.12,36.793,-36.793
0.11,36.792,-36.792
0.1,36.788,-36.788
0.09,36.786,-36.786
0.08,36.779,-36.779
0.07,36.775,-36.775
0.06,36.786,-36.786
0.05,36.774,-36.774
0.04,36.765,-36.765
0.03,36.755,-36.755
0.02,36.765,-36.765
0.01,36.765,-36.765
0,36.766,-36.766
-0.01,36.763,-36.763
-0.02,36.768,-36.768
-0.03,36.755,-36.755
-0.04,36.755,-36.755
-0.05,36.764,-36.764
-0.06,36.786,-36.786
-0.07,36.788,-36.788
-0.08,36.796,-36.796
-0.09,36.807,-36.807
-0.1,36.813,-36.813
-0.11,36.827,-36.827
-0.12,36.831,-36.831
-0.13,36.825,-36.825
-0.14,36.829,-36.829
-0.15,36.818,-36.818
-0.16,36.812,-36.812
-0.17,36.805,-36.805
-0.18,36.799,-36.799
-0.19,36.792,-36.792
-0.2,36.786,-36.786
